id,name,provider,intelligence_score,intelligence_score_norm,price_input,price_output,price_norm,speed_tokens_per_sec,speed_norm,ttft_latency,context_window,context_norm,license_type,source,collected_at
1,deepseek-ai/DeepSeek-R1,deepseek-ai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.869741
2,meta-llama/Meta-Llama-3-8B,meta-llama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.871438
3,meta-llama/Llama-3.1-8B-Instruct,meta-llama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.871913
4,bigscience/bloom,bigscience,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.872314
5,meta-llama/Llama-2-7b-chat-hf,meta-llama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.872734
6,openai/gpt-oss-120b,openai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.873126
7,openai/gpt-oss-20b,openai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.873499
8,meta-llama/Llama-2-7b,meta-llama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.873857
9,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.874209
10,mistralai/Mistral-7B-v0.1,mistralai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.874588
11,deepseek-ai/DeepSeek-V3,deepseek-ai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.874972
12,microsoft/phi-2,microsoft,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.875366
13,google/gemma-7b,google,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.875728
14,openai-community/gpt2,openai-community,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.876081
15,mistralai/Mistral-7B-Instruct-v0.2,mistralai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.876438
16,deepseek-ai/DeepSeek-V3-0324,deepseek-ai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.876818
17,bigcode/starcoder,bigcode,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.877219
18,Qwen/QwQ-32B,Qwen,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.877586
19,meta-llama/Llama-3.3-70B-Instruct,meta-llama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.877954
20,tiiuae/falcon-40b,tiiuae,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.878356
